question,summary_answer,difficulty,intent,relevant_lines,filename
steps for regression testing LLM,"The tutorial outlines several steps including creating a dataset, generating new answers, and evaluating them using LLM as a judge.",beginner,text,11-19,examples/LLM_regression_testing.mdx
install evidently library for LLM,"Instructions for installing the Evidently library for LLM regression testing are provided, using the command `pip install evidently[llm]`.",beginner,code,39-43,examples/LLM_regression_testing.mdx
how to create a toy dataset for LLM,You will create a small Q&A dataset with reference answers as part of the tutorial to facilitate testing.,beginner,code,13-13,examples/LLM_regression_testing.mdx
generate new outputs from LLM,The article explains how to simulate generating new outputs by adding a new column to your dataset with the LLM's responses.,intermediate,code,178-178,examples/LLM_regression_testing.mdx
evaluate LLM outputs using tests,"You will learn to create and run tests to evaluate length, correctness, and style consistency of LLM outputs against references.",intermediate,code,17-17,examples/LLM_regression_testing.mdx
using observability dashboards for LLM results,The tutorial covers how to build a monitoring dashboard to track results over time and analyze the effectiveness of tests.,intermediate,code,19-19,examples/LLM_regression_testing.mdx
Python code for LLM correctness check,A binary classification prompt template is provided to evaluate the correctness of responses from the LLM.,advanced,code,243-256,examples/LLM_regression_testing.mdx
check LLM style consistency in outputs,Guidance is given on how to implement a judge for style matching of LLM outputs using a classification approach.,advanced,code,273-292,examples/LLM_regression_testing.mdx
set up a monitoring dashboard in Evidently,Instructions for setting up a monitoring dashboard to visualize LLM test results are available in the article.,intermediate,code,464-482,examples/LLM_regression_testing.mdx
run regression tests for LLM outputs,You can define and run regression tests on your LLM outputs using the setup explained in the article.,advanced,code,300-300,examples/LLM_regression_testing.mdx
interpret results from LLM tests,"The article explains how to interpret the results from running regression tests, including pass/fail scenarios.",intermediate,text,386-386,examples/LLM_regression_testing.mdx
requirements for LLM regression testing,"To complete the tutorial, basic Python knowledge and an OpenAI API key are required.",beginner,text,25-29,examples/LLM_regression_testing.mdx
Evidently Cloud installation steps,"The tutorial includes setup steps for connecting to Evidently Cloud, including API token usage.",beginner,code,61-94,examples/LLM_regression_testing.mdx
custom metrics in LLM evaluation,"You can define custom metrics to evaluate LLM responses beyond standard checks, enhancing testing fidelity.",advanced,code,222-232,examples/LLM_regression_testing.mdx
LLM evaluation dashboard features,"The tutorial discusses the features of the dashboard created for LLM evaluations, such as tracking test results historically.",intermediate,text,496-501,examples/LLM_regression_testing.mdx
testing against reference responses in LLM,The process outlined in the article allows testing LLM outputs against pre-defined reference responses for accuracy.,intermediate,text,228-228,examples/LLM_regression_testing.mdx
using Jupyter notebook for LLM testing,You can run the entire LLM regression testing example in a Jupyter notebook as demonstrated in the tutorial.,beginner,code,34-34,examples/LLM_regression_testing.mdx
LLM evaluation tutorial,"The article offers a comprehensive overview of LLM evaluation methods, including code examples and video tutorials to guide users through the process.",beginner,text,lines 22-23,examples/introduction.mdx
how to use LLM judge,It includes a tutorial on creating and tuning LLM judges suitable for aligning outputs with human preferences.,intermediate,code,lines 99-99,examples/introduction.mdx
Evidently GitHub actions example,There is a practical example showing how to implement Evidently evaluations within a CI/CD pipeline using GitHub Actions.,intermediate,code,lines 64-66,examples/introduction.mdx
metrics cookbook ML,"The metrics cookbook section provides various data and ML metrics for regression, classification, and data drift evaluation with examples.",beginner,code,lines 54-56,examples/introduction.mdx
RAG evaluation metrics,"The article features a walkthrough detailing different RAG evaluation metrics, aimed at validating retrieval-augmented generation systems.",intermediate,text,lines 29-30,examples/introduction.mdx
tracing AI application,There’s a quickstart guide on how to collect inputs and outputs from an AI application using tracing techniques.,beginner,code,lines 17-17,examples/introduction.mdx
deploy LLM evaluation,The deployment section provides guidance on how to create a workspace and run reports for LLM evaluations in an open-source UI.,intermediate,code,lines 83-83,examples/introduction.mdx
using multiple LLMs for evaluation,"One tutorial explains how to use multiple LLMs to evaluate the same output, offering insights into comparative analysis.",intermediate,text,lines 32-34,examples/introduction.mdx
LLM content generation,"A tutorial on the article explains how to utilize LLMs to generate content, like tweets, and evaluate engagement levels.",beginner,code,lines 101-101,examples/introduction.mdx
LLM evaluation methods overview,"The article outlines different methods for LLM evaluation, providing clarity on both reference-based and reference-free evaluation techniques.",advanced,text,lines 97-98,examples/introduction.mdx
how to visualize LLM metrics,"There are examples detailing how to visualize LLM evaluation metrics in Grafana, using PostgreSQL as the database.",advanced,code,lines 70-71,examples/introduction.mdx
Evidently Cloud v2 breaking changes,"The article highlights major breaking changes in Evidently Cloud v2, including compatibility issues with library versions below 0.7.0 and the recommendation to switch for new users.",beginner,text,lines 3-17,faq/cloud_v2.mdx
evidently migration guide 0.6,"This guide explains key changes for users migrating from earlier versions to Evidently 0.6 and above, highlighting major updates and what to expect.",beginner,text,lines 1-1,faq/migration.mdx
using new Report object Evidently,The new Report object in Evidently 0.6 enables users to generate reports using updated APIs for better functionality and ease of use.,beginner,code,lines 13-13,faq/migration.mdx
legacy API coexistence Evidently,"During the transition from versions 0.6 to 0.6.7, both the legacy and new APIs exist, allowing users to choose their preferred option until fully migrating.",intermediate,text,lines 14-14,faq/migration.mdx
data_definition instead of column_mapping,"Evidently 0.6 replaces column_mapping with data_definition, requiring users to create a Dataset object, significantly enhancing data handling flexibility.",intermediate,text,lines 24-26,faq/migration.mdx
aggregate descriptor results in Evidently,"Users can aggregate descriptor results in Evidently by running conditional checks, allowing efficient summary and analysis without recomputation.",intermediate,code,lines 42-68,faq/migration.mdx
presets for reports Evidently,"The new Report API in Evidently allows the use of presets to generate reports and summaries easily, improving reporting workflows.",beginner,code,lines 84-86,faq/migration.mdx
custom metrics dashboard API Evidently,"With the new Dashboard API, custom metrics can now be integrated and visualized in the UI, enhancing the dashboard's functionality.",advanced,code,lines 145-145,faq/migration.mdx
Evidently library features,"The Evidently library is an open-source Python library for AI evaluations and reporting, suited for data scientists and ML engineers.",beginner,text,lines 5-13,faq/oss_vs_cloud.mdx
Open-source vs cloud features comparison,"The article outlines the differences in features between the open-source and cloud/enterprise editions, highlighting core and premium features.",intermediate,text,lines 31-68,faq/oss_vs_cloud.mdx
Evidently enterprise self-hosted benefits,Evidently Enterprise offers self-hosted options with full features and dedicated support for teams with strict security requirements.,intermediate,text,"lines 29, 75-79",faq/oss_vs_cloud.mdx
How to deploy Evidently OSS,"The open-source version of Evidently requires users to handle their own deployment, maintenance, and scaling resources manually.",beginner,code,lines 81-83,faq/oss_vs_cloud.mdx
Installation of Evidently Python library,Installation instructions and usage examples for the Evidently library are crucial for data scientists looking to evaluate AI systems.,beginner,code,lines 5-13,faq/oss_vs_cloud.mdx
Premium features of Evidently cloud,The cloud version of Evidently offers advanced features like scheduled evaluations and dataset management that are not available in the OSS version.,advanced,text,lines 46-56,faq/oss_vs_cloud.mdx
data collected by Evidently telemetry,"Evidently collects anonymous usage data related to the environment and service interactions, such as user ID, OS version, and actions performed in the service.",beginner,text,lines 5-13,faq/telemetry.mdx
how to opt out of Evidently telemetry,"Users can opt out of telemetry by setting the environment variable DO_NOT_TRACK to any value, thus disabling data collection.",beginner,code,lines 85-99,faq/telemetry.mdx
telemetry data from Evidently Monitoring UI,"Telemetry is collected only when using the Evidently Monitoring UI, with no data collected when running as a library.",intermediate,text,lines 9-11,faq/telemetry.mdx
Evidently telemetry environment data,"The environment data collected includes the OS name, version, Python version, and other system details pertinent to how Evidently is run.",intermediate,text,lines 17-33,faq/telemetry.mdx
list of actions tracked by telemetry,"Evidently tracks several actions like Startup, Index, List_projects, Get_project_info, among others, to understand feature usage.",beginner,text,lines 43-69,faq/telemetry.mdx
Evidently's anonymous data collection,"Evidently only collects anonymous usage data, ensuring no personal or sensitive information is captured during telemetry.",beginner,text,lines 11-13,faq/telemetry.mdx
how to enable telemetry in Evidently,"Telemetry is enabled by default, but can be turned back on by unsetting the DO_NOT_TRACK environment variable.",intermediate,code,lines 99-102,faq/telemetry.mdx
configuring telemetry settings for Evidently,"Users can control telemetry settings directly through environment variables, allowing customization based on personal preferences.",intermediate,code,lines 81-91,faq/telemetry.mdx
version requirements for telemetry data collection,"Telemetry collection in Evidently starts from version 0.4.0, ensuring users are using the appropriate version for data tracking.",beginner,text,line 7,faq/telemetry.mdx
remote IP address handling in Evidently telemetry,"Evidently uses an obscured source IP address for telemetry, ensuring user anonymity while collecting essential data.",advanced,text,lines 35-41,faq/telemetry.mdx
Evidently AI capabilities and features,"The article outlines that Evidently AI supports the development of reliable AI products and offers a comprehensive feature set, including built-in evaluations and collaborative tools.",beginner,text,"1, 37-37",faq/why_evidently.mdx
Open source benefits of Evidently,"Evidently is an open-source library with a transparent implementation, numerous community resources, and a user-friendly API, which enhances trust and collaboration.",beginner,text,5-7,faq/why_evidently.mdx
How to integrate Evidently into my workflow,"The article mentions that Evidently is modular and can easily integrate into existing workflows, allowing users to add components like monitoring and custom metrics as needed.",intermediate,code,11-25,faq/why_evidently.mdx
Built-in evaluations in Evidently,"Evidently features over 100 built-in evaluations tailored for various ML and LLM use cases, simplifying the process of measuring performance without extensive setup.",intermediate,code,27-31,faq/why_evidently.mdx
Evidently Python library features,"The Evidently Python library provides over 100 evaluation metrics and a declarative testing API, making it an essential tool for monitoring data and AI systems.",beginner,text,lines 3-3,introduction.mdx
descriptor types in evaluation,"The article outlines various descriptor types for evaluations, including deterministic evals, content checks, syntax validation, and ML-based evals.",beginner,text,lines 5-7,metrics/all_descriptors.mdx
exactmatch example,"An example of the ExactMatch descriptor is `ExactMatch(columns=[""answer"", ""target""])` which checks if contents match between two columns.",beginner,code,line 15,metrics/all_descriptors.mdx
regexp descriptor usage,"The RegExp descriptor checks whether text matches a specified regular expression, such as `RegExp(reg_exp=r""^I"")` which checks if text starts with 'I'.",beginner,code,line 16,metrics/all_descriptors.mdx
includeswords parameter,The IncludesWords descriptor checks if the text includes specified vocabulary words and accepts parameters like `words_list` and `mode` for additional control over the check.,intermediate,code,line 28,metrics/all_descriptors.mdx
how to validate JSON,"The IsValidJSON descriptor checks if the column contains a valid JSON, returning True/False for each input, and can optionally include an alias.",beginner,code,line 42,metrics/all_descriptors.mdx
text length measurement,"The TextLength descriptor measures the length of the text in symbols and returns an absolute number, useful for understanding text size.",beginner,code,line 54,metrics/all_descriptors.mdx
syntax validation examples,"Examples of syntax validations include IsValidPython() and IsValidSQL(), which check for valid Python code and SQL queries respectively.",intermediate,code,lines 45-46,metrics/all_descriptors.mdx
custom descriptors overview,"CustomDescriptor() allows the implementation of custom checks using Python functions for specific columns, enhancing the evaluation process.",intermediate,code,line 66,metrics/all_descriptors.mdx
containslink descriptor,The ContainsLink descriptor checks if the column contains at least one valid URL and returns True/False for each row.,intermediate,code,line 34,metrics/all_descriptors.mdx
faithfulness evaluation,"FaithfulnessLLMEval assesses if the response maintains fidelity to the provided context, returning labels like FAITHFUL or UNFAITHFUL.",advanced,code,line 89,metrics/all_descriptors.mdx
context relevance check,ContextRelevance() checks if the provided context is relevant to a given question and outputs a similarity score between 0 and 1.,advanced,code,line 88,metrics/all_descriptors.mdx
text stats analysis,The document details text statistics descriptors like OOVWordsPercentage() and SentenceCount() which help evaluate text quality.,intermediate,code,lines 55-57,metrics/all_descriptors.mdx
how to use the LLMEval descriptor,"LLMEval scores text based on user-defined criteria and requires parameters including provider, model, and template for the evaluation.",intermediate,code,line 79,metrics/all_descriptors.mdx
custom columns descriptor explanation,"CustomColumnsDescriptor allows for implementing checks on any column in the dataset, enhancing evaluation flexibility.",intermediate,code,line 67,metrics/all_descriptors.mdx
usage of DoesNotContain(),"The DoesNotContain() descriptor checks if the text lacks specified forbidden expressions, returning True/False per input.",beginner,code,line 27,metrics/all_descriptors.mdx
context quality evaluation,"The ContextQualityLLMEval assesses if the context provides adequate information to answer a question, returning a validity label.",advanced,code,line 87,metrics/all_descriptors.mdx
needing a valid SQL check,"Use IsValidSQL() to check if a column contains valid SQL queries without executing them, ensuring syntax correctness.",intermediate,code,line 46,metrics/all_descriptors.mdx
detecting toxicity in text,"ToxicityLLMEval detects toxic language in the text, returning a label indicating the level of toxicity.",advanced,code,line 103,metrics/all_descriptors.mdx
parameters for CustomDescriptor,CustomDescriptor function includes parameters like `alias` and `func` to implement specific checks as needed on columns.,intermediate,code,line 66,metrics/all_descriptors.mdx
negative text detection process,NegativityLLMEval identifies negative texts and returns a label indicating whether the text is deemed negative or positive.,advanced,code,line 101,metrics/all_descriptors.mdx
using the ItemMatch() descriptor,ItemMatch() checks if the text contains specified items from a provided list and returns True/False based on its findings.,beginner,code,line 30,metrics/all_descriptors.mdx
checking word inclusion,"The IncludesWords descriptor checks for the presence of specified vocabulary words within the text, allowing for modes of either 'any' or 'all'.",intermediate,code,line 28,metrics/all_descriptors.mdx
assessing semantic similarity,The SemanticSimilarity() descriptor calculates similarity scores between two columns based on cosine similarity using a sentence embeddings model.,intermediate,code,line 111,metrics/all_descriptors.mdx
json schema validation,"JSONSchemaMatch checks if a column's JSON object aligns with an expected schema, ensuring all keys are present and values are not None.",advanced,code,line 43,metrics/all_descriptors.mdx
method for sentiment analysis,"Sentiment() analyzes text sentiment and provides a score ranging from -1 (negative) to 1 (positive), useful for gauging opinion in text.",intermediate,code,line 113,metrics/all_descriptors.mdx
importance of non-letter character percentage,"NonLetterCharacterPercentage calculates the ratio of non-letter characters in the text, which can provide insights into text cleanliness and formatting.",beginner,code,line 56,metrics/all_descriptors.mdx
dataset-level evaluation metrics,"The article provides a comprehensive reference for all dataset-level evaluation metrics, including descriptions and parameters.",beginner,text,lines 1-3,metrics/all_metrics.mdx
text evaluations available,"It summarizes results of text or LLM evaluations, detailing how to score individual inputs and use descriptors.",beginner,text,lines 19-21,metrics/all_metrics.mdx
metric cookbook example,The article references a Metric cookbook where users can find code examples for implementing various metrics.,beginner,code,line 2,metrics/all_metrics.mdx
how to read metric tables,"It outlines how to interpret metric tables, including metric names, descriptions, parameters, and test defaults.",beginner,text,lines 5-16,metrics/all_metrics.mdx
parameters for metrics,Each metric has a specific set of available parameters which can be used to customize evaluations.,intermediate,text,lines 28-30,metrics/all_metrics.mdx
Column level data quality metrics,The article details various column-level data quality metrics to assess the integrity of individual columns.,beginner,text,lines 54-56,metrics/all_metrics.mdx
aggregate descriptor results,This section explains how to use metrics for aggregating descriptor results or checking data quality at the column level.,intermediate,text,lines 33-33,metrics/all_metrics.mdx
ValueStats() metrics,ValueStats() provides several statistical metrics like UniqueValueCount and MissingValueCount for assessing individual column quality.,intermediate,text,lines 43-45,metrics/all_metrics.mdx
example of ValueStats() implementation,An example metric is provided for using ValueStats() to compute descriptive statistics for a specified column.,intermediate,code,line 45,metrics/all_metrics.mdx
Data Drift detection methods,"The article discusses various methods for detecting data drift, including visualizing distributions and calculating drift scores.",intermediate,text,lines 111-119,metrics/all_metrics.mdx
how to map text columns,Guides on mapping text columns are included for using data definition effectively within metrics.,beginner,text,lines 24-24,metrics/all_metrics.mdx
how to compute UniqueValueCount,"It provides the requirement and use case for the UniqueValueCount metric, essential for data analysis.",intermediate,code,line 69,metrics/all_metrics.mdx
standard deviation metric,"Details about the StdValue() metric, which computes the standard deviation for a numerical column, are provided.",intermediate,text,lines 46-46,metrics/all_metrics.mdx
MinValue() column metric,MinValue() computes the minimum value for a specified numerical column and is crucial for data validation.,intermediate,text,lines 46-47,metrics/all_metrics.mdx
MaxValue() usage,"The MaxValue() metric details how to compute the maximum value for a given column, with relevant implementation details.",intermediate,code,lines 49-49,metrics/all_metrics.mdx
importance of data quality metrics,Data quality metrics are crucial for ensuring the integrity and reliability of datasets before model training and evaluation.,beginner,text,lines 56-56,metrics/all_metrics.mdx
what is RecallTopK(),RecallTopK() calculates the recall at the top K retrieved items and is useful in ranking tasks.,intermediate,text,lines 228-229,metrics/all_metrics.mdx
Dummy model metrics overview,An overview of dummy model quality metrics that help assess baseline performance compared to a random model is provided.,beginner,text,lines 157-159,metrics/all_metrics.mdx
FNR() metric description,"FNR() calculates the False Negative Rate, essential for understanding the performance of classification models.",advanced,text,lines 150-150,metrics/all_metrics.mdx
calculate LogLoss(),It details how to implement the LogLoss() metric for evaluating the performance of classification models.,intermediate,code,lines 152-152,metrics/all_metrics.mdx
MeanAbsolutePercentageError (MAPE),"The MAPE metric is discussed, including its role in evaluating regression model performance.",intermediate,text,lines 195-195,metrics/all_metrics.mdx
DataSummaryPreset() implementation,"DataSummaryPreset() combines dataset statistics and value statistics for overall analysis, along with example usage.",intermediate,code,lines 85-85,metrics/all_metrics.mdx
DummyRecall() metric,"DummyRecall() measures recall for a dummy model, providing insight into baseline evaluation methods.",beginner,code,lines 163-163,metrics/all_metrics.mdx
Effect of reference in metrics,Explanations on how providing a reference impacts the results of various metrics are included in the article.,intermediate,text,lines 14-16,metrics/all_metrics.mdx
example of Precision() in metric evaluation,Precision() metric with visualizations like confusion matrix is described for evaluating classification quality.,intermediate,code,lines 145-145,metrics/all_metrics.mdx
usage of classification quality metrics,The article outlines usage scenarios for metrics related to the quality of classification tasks.,intermediate,text,lines 130-132,metrics/all_metrics.mdx
what is R2Score() in regression,The R2Score() metric assesses the performance of regression models by explaining the variance accounted for by the model.,intermediate,text,lines 196-196,metrics/all_metrics.mdx
Ranking metrics explanation,"The article discusses metrics for evaluating ranking and retrieval tasks, essential for recommendation systems.",beginner,text,lines 216-223,metrics/all_metrics.mdx
first test condition in metrics,"In metrics, the first test conditions determine the evaluation context, influencing how metrics are computed.",intermediate,text,lines 10-10,metrics/all_metrics.mdx
basic accuracy metric importance,"The accuracy metric reflects the proportion of correctly predicted instances in classification tasks, serving as a fundamental performance measure.",beginner,text,lines 144-144,metrics/all_metrics.mdx
use of MeanError() in analysis,"MeanError() calculates the mean error in predictions, vital for understanding overall model performance in regression.",intermediate,text,lines 192-192,metrics/all_metrics.mdx
how to implement InListValueCount(),"InListValueCount() counts the number and share of specified values in a column, providing valuable insights into data distributions.",intermediate,code,lines 67-67,metrics/all_metrics.mdx
how to calculate False Positive Rate (FPR),"FPR() calculates the rate of false positives for classification models, which is vital for evaluating model performance.",intermediate,text,lines 150-150,metrics/all_metrics.mdx
need for validation metrics,Validation metrics ensure that models not only perform well on training data but also generalize effectively to unseen data.,beginner,text,lines 73-73,metrics/all_metrics.mdx
dataset statistical methods,"Various metrics for statistical evaluation of datasets, including visualizations for detailed insights, are discussed in the article.",intermediate,text,lines 81-81,metrics/all_metrics.mdx
what is DatasetMissingValueCount(),DatasetMissingValueCount() assesses missing values in a dataset and is crucial for maintaining data quality.,intermediate,text,lines 105-105,metrics/all_metrics.mdx
usage of DriftedColumnsCount(),"DriftedColumnsCount() calculates the number of columns with detected data drift, crucial for monitoring data quality over time.",intermediate,code,lines 124-124,metrics/all_metrics.mdx
understanding ranking quality metrics,"The article introduces ranking quality metrics for evaluating performance in ranking tasks, pivotal for recommendations.",intermediate,text,lines 216-218,metrics/all_metrics.mdx
pre-built evaluation templates explained,"The article describes various pre-built evaluation templates, known as Presets, that can be easily used on a dataset level, allowing users to run evaluations without setup.",beginner,text,1-1,metrics/all_presets.mdx
data drift detection methods examples,"The article provides examples of how to implement data drift detection methods such as PSI, K-S test, and Chi-square test.",beginner,code,lines 81-92,metrics/customize_data_drift.mdx
how to set custom thresholds for data drift,You can set custom thresholds for drift detection methods in the Metrics or Presets by using parameters like `cat_threshold` or `num_threshold`.,beginner,code,lines 45-49,metrics/customize_data_drift.mdx
override default data drift metrics,"To override default data drift metrics, pass custom parameters to the chosen Metric or Preset, including modifying methods, thresholds, and conditions.",beginner,code,lines 3-5,metrics/customize_data_drift.mdx
dataset-level drift detection settings,"You can set the dataset-level drift detection parameters, such as the share of drifting columns indicating dataset drift, with examples provided for implementation.",intermediate,code,lines 21-39,metrics/customize_data_drift.mdx
drift detection method for categorical columns,"For categorical columns, you can use methods like Chi-square and specify thresholds to detect drift effectively as shown in the examples.",intermediate,code,lines 88-90,metrics/customize_data_drift.mdx
custom data drift method implementation,The article outlines how to implement a custom data drift detection method using the StatTest class and registering it for use in reports.,advanced,code,lines 119-169,metrics/customize_data_drift.mdx
understanding drift parameters explanation,"Drift parameters such as `drift_share`, `method`, and `threshold` are explained in detail with their applications and significance in data drift detection.",beginner,text,lines 67-75,metrics/customize_data_drift.mdx
detection methods for numerical data,"Numerical data can be analyzed using various drift detection methods including K-S test and Anderson-Darling, with specific implementations detailed.",intermediate,code,lines 87-95,metrics/customize_data_drift.mdx
using PSI for drift detection,PSI (Population Stability Index) can be used for detecting drift in both categorical and numerical data with specific implementations shown in Python.,intermediate,code,lines 31-39,metrics/customize_data_drift.mdx
API differences in data drift conditions,"The article highlights that setting conditions for data drift can differ from the standard Test API usage, emphasizing nuance in threshold roles.",intermediate,text,lines 15-16,metrics/customize_data_drift.mdx
text data drift detection examples,"For text data, methods such as `perc_text_content_drift` and `abs_text_content_drift` are explained along with thresholds for detection.",intermediate,code,lines 108-112,metrics/customize_data_drift.mdx
examples of fully custom drift methods,Examples of fully custom drift detection methods can be implemented using custom functions and the StatTest class as illustrated in the article.,advanced,code,lines 119-182,metrics/customize_data_drift.mdx
data drift relevance of thresholds,"Thresholds play a crucial role in evaluating data drift, where their significance and values can vary based on drift detection methods used.",intermediate,text,lines 72-75,metrics/customize_data_drift.mdx
setting drift parameters for all columns,"You can set drift parameters like methods and thresholds for all columns at once, simplifying the configuration for dataset evaluations.",beginner,code,lines 21-27,metrics/customize_data_drift.mdx
reporting drift detection results,"The results of drift detection can be captured in reports, with examples provided for how to generate and run reports effectively using the library.",beginner,code,lines 24-26,metrics/customize_data_drift.mdx
how to detect drift using classifiers,"The article describes using classifiers to detect drift in text data, with specific models and statistical methods explained for implementation.",advanced,code,lines 110-112,metrics/customize_data_drift.mdx
custom function for row-level evaluator,"The article describes how to implement a custom function for checks not available in Evidently, allowing you to build your own programmatic evaluators.",beginner,code,lines 1-1,metrics/customize_descriptor.mdx
how to use CustomColumnDescriptor,It details how to use `CustomColumnDescriptor` for evaluating values within a dataset's column and returning transformed scores or labels.,intermediate,code,lines 41-49,metrics/customize_descriptor.mdx
difference between CustomColumnDescriptor and CustomDescriptor,"The article outlines the differences, highlighting that `CustomColumnDescriptor` applies to a single column while `CustomDescriptor` can handle multiple columns and return multiple transformed scores.",advanced,text,lines 74-102,metrics/customize_descriptor.mdx
HuggingFace model scoring examples,The article provides code examples of how to use HuggingFace models to score and classify text based on emotions.,beginner,code,lines 1-5,metrics/customize_hf_descriptor.mdx
Installing HuggingFace dependencies,It assumes you have knowledge of Python and how to install necessary packages like `evidently` for using HuggingFace models.,beginner,text,lines 7-9,metrics/customize_hf_descriptor.mdx
HuggingFace models list,"The article mentions various models available through the `HuggingFace()` descriptor, such as emotion classifiers and zero-shot classifiers.",intermediate,text,lines 103-119,metrics/customize_hf_descriptor.mdx
How to add custom ML evaluations with HuggingFace,Users can add their own custom evaluation checks for text data using the general `HuggingFace()` descriptor in Python.,intermediate,code,lines 71-80,metrics/customize_hf_descriptor.mdx
Using HuggingFace for emotion classification,"Detailed examples of using HuggingFace models to classify text into various emotions are presented, including required parameters.",intermediate,code,lines 105-107,metrics/customize_hf_descriptor.mdx
Example of Toxicity evaluation with HuggingFace,The article provides a specific example of how to use the `HuggingFaceToxicity` descriptor for toxicity evaluation in text data.,beginner,code,lines 63-68,metrics/customize_hf_descriptor.mdx
Output format of HuggingFace evaluations,It discusses how to call and view results from evaluations using the `as_dataframe()` method in the `eval_df` object.,intermediate,code,lines 91-95,metrics/customize_hf_descriptor.mdx
Data structure for HuggingFace models,The article explains how to structure your data using a pandas DataFrame for compatibility with HuggingFace model evaluations.,intermediate,code,lines 49-54,metrics/customize_hf_descriptor.mdx
Setting thresholds for HuggingFace evaluations,"It explains how to set classification thresholds for some models, which helps in determining the output labels based on prediction probabilities.",advanced,text,lines 108-108,metrics/customize_hf_descriptor.mdx
HuggingFace integration with evidently,"The document details how HuggingFace integrates with the evidently library for model evaluations, emphasizing the implementation flexibility and model compatibility.",advanced,text,lines 111-119,metrics/customize_hf_descriptor.mdx
configure LLM judges with examples,The article outlines how to configure LLM judges using built-in or custom evaluators with examples provided throughout.,beginner,code,lines 1-5,metrics/customize_llm_judge.mdx
how to create LLM descriptors,"It provides steps for creating LLM descriptors, including using templates for binary and multi-class evaluations.",beginner,code,lines 176-183,metrics/customize_llm_judge.mdx
setup OpenAI API key for evaluators,Instructions on setting up the OpenAI API key as an environment variable are included to enable evaluation.,intermediate,code,lines 67-71,metrics/customize_llm_judge.mdx
examples of built-in LLM judges,The article lists built-in LLM judges like ToxicityLLMEval and ContextQualityLLMEval as examples of configurable evaluators.,intermediate,text,lines 61-65,metrics/customize_llm_judge.mdx
run single-column eval for toxicity,It details how to conduct a single-column evaluation for toxicity using the ToxicityLLMEval descriptor.,beginner,code,lines 74-79,metrics/customize_llm_judge.mdx
multi-column evaluation with context,"Instructions for running a multi-column evaluation related to context quality are provided, requiring parameters for both context and question columns.",intermediate,code,lines 92-97,metrics/customize_llm_judge.mdx
change LLM model and provider,"The process for changing the LLM model and provider is explained, allowing users to specify different models from OpenAI or other sources.",intermediate,code,lines 126-146,metrics/customize_llm_judge.mdx
parameters for LLMEval descriptors,"A detailed description of available parameters for LLMEval descriptors, including template, provider, and additional columns.",advanced,text,lines 442-447,metrics/customize_llm_judge.mdx
create binary classification evaluator,Guidance on setting up a binary classification evaluator with custom criteria and its implementation in code is provided.,beginner,code,lines 185-213,metrics/customize_llm_judge.mdx
evaluate question appropriateness as LLM,An example of evaluating if a question is appropriate using a binary classification template is discussed.,intermediate,code,lines 231-259,metrics/customize_llm_judge.mdx
options using evaluator parameters,Describes how to use Options with various providers for passing API keys and additional parameters directly.,advanced,text,lines 153-168,metrics/customize_llm_judge.mdx
how to customize LLM evaluator templates,"Information on customizing LLM evaluator templates is provided, detailing criteria and categories for classification.",intermediate,text,lines 178-183,metrics/customize_llm_judge.mdx
running multi-class classifier evaluations,"Instructions on running evaluations with multi-class classifiers are included, explaining category definitions and implementation.",intermediate,code,lines 326-372,metrics/customize_llm_judge.mdx
examples of toxicity evaluation output,"The article describes the expected output of toxicity evaluations, showing examples of results from built-in LLM judges.",beginner,text,lines 90-90,metrics/customize_llm_judge.mdx
using additional columns in evaluations,"It discusses how to use additional columns in evaluations for more complex descriptors, enhancing contextual accuracy.",intermediate,code,lines 301-311,metrics/customize_llm_judge.mdx
pip installing Evidently for LLM,Basic guidance for installing the Evidently library to access LLM functionalities is hinted at in the prerequisites.,beginner,text,lines 6-8,metrics/customize_llm_judge.mdx
specifying context in LLMEval,Instructions on how to specify context in evaluations when using LLMEval descriptors are provided.,intermediate,code,lines 182-182,metrics/customize_llm_judge.mdx
metrics for evaluating LLM performance,Insights on what metrics to consider when evaluating LLM performance using descriptors are discussed towards the end.,advanced,text,lines 438-470,metrics/customize_llm_judge.mdx
define criteria for binary classifiers,It mentions how to define criteria for binary classifiers and provides a sample implementation in Python code.,intermediate,code,lines 453-468,metrics/customize_llm_judge.mdx
different providers for LLMs in Evidently,"Discusses the various providers available for LLMs within the Evidently framework, highlighting versatility.",intermediate,text,lines 120-121,metrics/customize_llm_judge.mdx
creating multi-class classification evaluator,Detailed guidance on creating multi-class evaluators with custom category definitions and templates is provided.,advanced,code,lines 324-410,metrics/customize_llm_judge.mdx
debugging LLM outputs for evaluations,"Notes strategies for debugging and validating LLM outputs, especially using Edge cases and performance metrics.",advanced,text,lines 170-171,metrics/customize_llm_judge.mdx
visualizing results from LLM evaluations,The article hints at methods for visualizing results obtained from LLM evaluations using standard data viewing methods.,beginner,text,lines 82-82,metrics/customize_llm_judge.mdx
create custom metric column-level implementation,"The article explains the steps to create a custom metric by implementing a calculation method, setting test conditions, and customizing visualizations.",beginner,code,lines 13-21,metrics/customize_metric.mdx
custom metric default test conditions,"The article describes optional default test conditions that can be set when creating a custom metric, which help evaluate the metric against specified criteria.",intermediate,text,lines 17-19,metrics/customize_metric.mdx
