question,reference_answer,line_number_start,line_number_end,question_type,filename
What does it mean by default embedding drift method?,"The default embedding drift method is a classifier. Specifically, Evidently trains a binary classification model to discriminate between data from reference and current distributions. When calculating embeddings drift, Evidently automatically applies this default drift detection method (“model”).",10,29,context_assumer,metrics/customize_embedding_drift.mdx
Can I specify the method for drift detection?,"Yes, you can choose other embedding drift detection methods. You can specify custom thresholds and parameters, such as dimensionality reduction, and choose from methods including Euclidean distance, Cosine Similarity, Maximum Mean Discrepancy, and the share of drifted embeddings. This is done by passing the parameters directly to the chosen drift detection method.",16,16,direct_inquirer,metrics/customize_embedding_drift.mdx
"I'm trying to classify emotions from texts but I don't know what models to use, can you help?","You can use the HuggingFace model for emotion classification, which scores texts by 28 emotions and returns the predicted probability for the chosen emotion label. For example, to evaluate disappointment you might use: HuggingFace(""response"", model=""SamLowe/roberta-base-go_emotions"", params={""label"": ""disappointment""}, alias=""disappointment"").",105,107,frustrated_beginner,metrics/customize_hf_descriptor.mdx
ML model emotion scoring?,"You can score your text by downloading and using ML models from HuggingFace. This lets you apply any criteria from the source model, e.g. classify texts by emotion.",1,1,hurried_developer,metrics/customize_hf_descriptor.mdx
What do I need to know before I use HuggingFace models?,You know how to use [descriptors](/docs/library/descriptors) to evaluate text data.,9,9,context_assumer,metrics/customize_hf_descriptor.mdx
Can I add custom checks in the model evaluation?,You can also add any custom checks directly as a Python function.,74,75,direct_inquirer,metrics/customize_hf_descriptor.mdx
How can I classify a text as 'toxic' with HuggingFace?,"You can call built-in evaluators for some models. For instance, you can add a descriptor like this: eval_df.add_descriptors(descriptors=[HuggingFaceToxicity(""question"", toxic_label=""hate"", alias=""Toxicity"")]).",63,68,frustrated_beginner,metrics/customize_hf_descriptor.mdx
add evaluation for zero-shot classification model,"You can use the zero-shot classification model for natural language inference by listing candidate topics as labels, and you can set a classification threshold. An example call is: HuggingFace(""response"", model=""MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli"", params={""labels"": [""science"", ""physics""], ""threshold"":0.5}, alias=""Topic"").",108,108,hurried_developer,metrics/customize_hf_descriptor.mdx
What happens if I use a model that doesn't give a single number output?,"The Descriptor may support other models published on Hugging Face, but it generally works for models that output a single number (e.g., predicted score for a label) or a label, and not an array of values.",111,113,context_assumer,metrics/customize_hf_descriptor.mdx
Can I get numerical scores using HuggingFace?,The model you use must return a numerical score or a category for each text in a column when using the HuggingFace descriptor.,77,77,direct_inquirer,metrics/customize_hf_descriptor.mdx
How do I run an example with toy data?,"To generate toy data and create a Dataset object, you can use pandas to organize your data and then create a Dataset object with eval_df = Dataset.from_pandas(df, data_definition=DataDefinition()).",18,54,frustrated_beginner,metrics/customize_hf_descriptor.mdx
What library do I import for using HuggingFace?,"You should import from evidently like this: from evidently.descriptors import HuggingFace, HuggingFaceToxicity.",13,15,hurried_developer,metrics/customize_hf_descriptor.mdx
"I can't figure out how to evaluate text data, where do I start?",You know how to use [descriptors](/docs/library/descriptors) to evaluate text data.,8,8,frustrated_beginner,metrics/customize_llm_judge.mdx
python define a custom LLM evaluator,You can create a custom LLM evaluator using the provided **templates** by choosing a template (binary or multi-class classification) and specifying the evaluation criteria (grading logic and names of categories).,178,184,hurried_developer,metrics/customize_llm_judge.mdx
"It says I can use built-in evaluators, where can I find them?",Check all available built-in LLM evals in the [reference table](/metrics/all_descriptors#llm-based-evals).,58,58,context_assumer,metrics/customize_llm_judge.mdx
Can I use multiple columns for evaluation criteria in custom LLMEval?,"Yes, you can use multiple columns for custom evaluators. To implement this, mention the second `{column_placeholder}` inside your evaluation `criteria` and use the `additional_columns` parameter when applying the descriptor.",268,300,direct_inquirer,metrics/customize_llm_judge.mdx
"I can't find anywhere to add my custom metric, how do I do that?","Once implemented, you can reference your custom Metric in a Report as usual.",86,86,frustrated_beginner,metrics/customize_metric.mdx
custom metric example code,Let's implement `MyMaxMetric` which calculates the maximum value in a column. Imports: ...,29,78,hurried_developer,metrics/customize_metric.mdx
How do I create custom visualizations for my metric?,"(Optional). Creating a custom visualization for this Metric using Plotly. If you skip this, the Metric will appear as a simple counter in the Report.",19,19,direct_inquirer,metrics/customize_metric.mdx
Can I add my metric to the core library or something?,Want a Metric added to the core library? Share your idea or feature request by opening a GitHub issue.,115,116,context_assumer,metrics/customize_metric.mdx
"I'm trying to understand what model quality metrics are given, can you help?","Evidently calculates a few standard model quality metrics: Accuracy, Precision, Recall, F1-score, ROC AUC, and LogLoss.",3,3,frustrated_beginner,metrics/explainer_classification.mdx
metrics accuracy precision recall?,"Evidently calculates a few standard model quality metrics: Accuracy, Precision, Recall, F1-score, ROC AUC, and LogLoss.",3,3,hurried_developer,metrics/explainer_classification.mdx
What are interactive visualizations for model performance?,"To support the model performance analysis, Evidently also generates interactive visualizations. They help analyze where the model makes mistakes and come up with improvement ideas.",5,5,context_assumer,metrics/explainer_classification.mdx
How can I visualize classification errors?,The Confusion Matrix visualizes the classification errors and their type.,15,15,direct_inquirer,metrics/explainer_classification.mdx
What's Class Separation Quality showing me?,A scatter plot of the predicted probabilities shows correct and incorrect predictions for each class. It serves as a representation of both model accuracy and the quality of its calibration. It also helps visually choose the best probability threshold for each class.,25,29,frustrated_beginner,metrics/explainer_classification.mdx
how do I find precision recall on the curves?,The precision-recall curve shows the trade-off between precision and recall for different classification thresholds.,47,47,hurried_developer,metrics/explainer_classification.mdx
Does the ROC Curve tell about thresholds?,ROC Curve (receiver operating characteristic curve) shows the share of true positives and true negatives at different classification thresholds.,41,41,direct_inquirer,metrics/explainer_classification.mdx
Why is it important to check model quality metrics by class?,"Shows the model quality metrics for the individual classes. In the case of multi-class problems, it will also include ROC AUC.",21,21,frustrated_beginner,metrics/explainer_classification.mdx
How do I see the feature behavior over time? I'm not sure where to click.,"If you click on ""details"", each feature would include additional visualization to show feature behavior in time.",33,33,frustrated_beginner,metrics/explainer_data_stats.mdx
widget correlations features,This widget shows the correlations between different features.,61,61,hurried_developer,metrics/explainer_data_stats.mdx
What kind of visualizations can I get for each feature?,"For each feature, this widget generates a set of visualizations. They vary depending on the feature type. There are 3 components: 1) Feature overview table 2) Feature in time 3) Feature by target.",9,9,direct_inquirer,metrics/explainer_data_stats.mdx
Can I see missing values in the summary widget?,"The table gives an overview of the dataset, including missing or empty features and other general information. It also shows the share of almost empty and almost constant features. This applies to cases when 95% or more features are missing or constant.",3,3,direct_inquirer,metrics/explainer_data_stats.mdx
What is Cramer's v correlation matrix?,"For categorical features, Evidently calculates the Cramer's v correlation matrix. For numerical features, Evidently calculates the Pearson, Spearman and Kendall matrices.",79,79,direct_inquirer,metrics/explainer_data_stats.mdx
I can't find the feature overview table! Where is it?,The table shows relevant statistical summaries for each feature based on its type and a visualization of feature distribution.,13,13,frustrated_beginner,metrics/explainer_data_stats.mdx
How to interpret feature interactions with the target?,Categorical and numerical features include an additional visualization that plots the interaction between a given feature and the target.,49,49,context_assumer,metrics/explainer_data_stats.mdx
"I'm trying to understand how the default data drift detection algorithm works, but I'm confused about what datasets I need to provide.",You always need to pass two datasets: current (dataset evaluated for drift) and reference (dataset that serves as a benchmark).,25,25,frustrated_beginner,metrics/explainer_drift.mdx
data drift detection algorithm steps,Evidently compares the distributions of the values in a given column (or columns) of the two datasets. You should pass these datasets as reference and current. Evidently applies several statistical tests and drift detection methods to detect if the distribution has changed significantly. It returns a 'drift detected' or 'not detected' result.,11,11,hurried_developer,metrics/explainer_drift.mdx
"So, if I set a threshold, can I change the default drift detection logic?","You can modify this drift detection logic. You can select any method available in the library (PSI, K-L divergence, Jensen-Shannon distance, Wasserstein distance, etc.), specify thresholds, or pass a custom test.",69,69,context_assumer,metrics/explainer_drift.mdx
What happens if my columns have empty values while checking for drift?,"If some columns contain empty or infinite values (+-np.inf), these values will be filtered out when calculating distribution drift in the corresponding column. By default, drift tests do not react to changes or increases in the number of empty values.",29,31,direct_inquirer,metrics/explainer_drift.mdx
"I don't know how to check the recall at K for my model, what do I do?","Compute recall at K by user. Compute the recall at K for each individual user (or query), by measuring the share of all relevant items in the dataset that appear in the top K results. Recall at K is calculated using the formula: Recall at K = Number of relevant items in K / Total number of relevant items.",11,14,frustrated_beginner,metrics/explainer_recsys.mdx
precision at K formula?,Precision at K reflects the ability of the system to suggest items that are truly relevant to the users’ preferences or queries. Compute precision at K for each user (or query) by measuring the share of the relevant results within the top K. The formula is: Precision at K = Number of relevant items in K / Total number of items in K.,28,33,hurried_developer,metrics/explainer_recsys.mdx
How can I get the mean average precision for my dataset?,"To compute Mean Average Precision (MAP) at K, average the results across all users (or queries) in the dataset. The formula for MAP@K is: MAP@K = 1/U * Σ AP@K_u, where U is the total number of users or queries in the dataset, and AP is the average precision for a given list.",76,80,context_assumer,metrics/explainer_recsys.mdx
Is it possible to get higher values for mean average recall?,"Higher MAR at K values indicate a better ability of the system to retrieve relevant items across all users or queries. Therefore, providing the system with better algorithms or tuning parameters may help in achieving higher MAR values.",109,109,direct_inquirer,metrics/explainer_recsys.mdx
"I need help understanding the model quality metrics, what are they?","Evidently calculates a few standard model quality metrics: Mean Error (ME), Mean Absolute Error (MAE), Mean Absolute Percentage Error (MAPE).",3,3,frustrated_beginner,metrics/explainer_regression.mdx
model error values displayed over time?,"Model error values over time or by index, if no datetime is provided.",25,25,hurried_developer,metrics/explainer_regression.mdx
"You mention interactive visualizations, can you tell me more about them?","To support the model performance analysis, Evidently also generates interactive visualizations. They help analyze where the model makes mistakes and come up with improvement ideas.",9,9,context_assumer,metrics/explainer_regression.mdx
How do I visualize the error distribution?,Distribution of the model error values.,37,37,direct_inquirer,metrics/explainer_regression.mdx
What does the Mean Error per Group show?,"A summary of the model quality metrics for each of the two segments: mean Error (ME), Mean Absolute Error (MAE), Mean Absolute Percentage Error (MAPE).",51,51,direct_inquirer,metrics/explainer_regression.mdx
Where can I find the predicted vs actual values visualizations?,Prediction plots that visualize the regions where the model underestimates and overestimates the target function.,57,57,hurried_developer,metrics/explainer_regression.mdx
What should I do if I have two datasets to compare?,"If you have two datasets, the table displays the values for both REF (reference) and CURR (current).",73,73,frustrated_beginner,metrics/explainer_regression.mdx
Can I see a histogram for error distribution?,"For each feature, Evidently shows a histogram to visualize the distribution of its values in the segments with extreme errors and in the rest of the data.",89,89,direct_inquirer,metrics/explainer_regression.mdx
Is there a formula for calculating Range%?,"Range=100∗∣(Vover−Vunder)/(Vmax−Vmin)∣*Range*=100∗∣(*Vover*−*Vunder*)/(*Vmax*−*Vmin*)∣, Where: Vover = average feature value in the OVER group; Vunder = average feature value in the UNDER group; Vmax = maximum feature value; Vmin = minimum feature value.",81,85,frustrated_beginner,metrics/explainer_regression.mdx
"I can't figure out how to add tests to my report, how do I do that?","To add pass/fail classification quality Tests, auto-generated from the `ref` dataset, use the following code: 
```python
report = Report([
    ClassificationPreset(),
],
include_tests=True)
```
This configures the Report to run checks to assess if the model performance metrics are within bounds, utilizing the reference dataset if it's provided.",15,21,frustrated_beginner,metrics/preset_classification.mdx
"I'm trying to figure out how to run a report to compare my datasets, but I'm lost. What do I need to do?","To run a Preset on your data, comparing `current` data to `ref` data, you can use: 
```python
report = Report([
    DataDriftPreset(),
])

my_eval = report.run(current, ref)
```",5,13,frustrated_beginner,metrics/preset_data_drift.mdx
"I can't figure out how to add custom test conditions, what do I do?","To modify the auto-generated Test conditions, you can set yours: either a different condition relative to the reference or any custom conditions per each Test.",88,88,frustrated_beginner,metrics/preset_data_summary.mdx
"I can't figure out how to get started with the Presets, where do I run the Report?","To run a Preset on your data for a single current dataset for top-k recommendations, you can use the following code with the `Report` class: 

```python
report = Report([
    RecSysPreset(k=5),
])

my_eval = report.run(current, None)
```",5,13,frustrated_beginner,metrics/preset_recsys.mdx
"I can't find where to add my reference dataset for testing, can you help?",You can pass two datasets for a side-by-side comparison or to auto-generate tests.,66,66,frustrated_beginner,metrics/preset_regression.mdx
"I can't find where to add my descriptors to the dataset, can you help?","To run this Report, first compute `descriptors` and add them to your Dataset. Check [how](/docs/library/descriptors).",1,1,frustrated_beginner,metrics/preset_text_evals.mdx
python report run current dataset,"my_eval = report.run(current, None)",10,10,hurried_developer,metrics/preset_text_evals.mdx
What happens if I don’t provide a reference dataset for the Tests?,"If there is no reference, some data quality Tests will run with heuristics (like expect no missing values).",40,40,direct_inquirer,metrics/preset_text_evals.mdx
"I can't figure out how to install the library, where do I start?","Install the Evidently Python library:

```python
uv add evidently
```",26,30,frustrated_beginner,quickstart_llm.mdx
evidently python library?,"Install the Evidently Python library:

```python
uv add evidently
```",26,30,hurried_developer,quickstart_llm.mdx
How do I create a dataset from my own data?,"**Preparing your own data**. You can provide data with any structure. Some common setups:

- Inputs and outputs from your LLM
- Inputs, outputs, and reference outputs (for comparison)
- Inputs, context, and outputs (for RAG evaluation)",78,84,direct_inquirer,quickstart_llm.mdx
"It mentions preparing a dataset, what does that mean?","Let's create a toy demo chatbot dataset with ""Questions"" and ""Answers"".",57,58,context_assumer,quickstart_llm.mdx
Can I use my existing project or do I need to set up a new one?,"To run comparisons, keep track of the results and collaborate with others, upload the results to Evidently Platform.",163,163,context_assumer,quickstart_llm.mdx
How do I see the results after evaluation?,"Preview the results locally in pandas:

```python
eval_dataset.as_dataframe()
```",125,129,frustrated_beginner,quickstart_llm.mdx
How to upload results to Evidently Cloud?,"Upload the Report to Evidently Cloud together with scored data:

```python
ws.add_run(project.id, my_eval, include_data=True)
```",165,169,direct_inquirer,quickstart_llm.mdx
"I want to track trends over time, how?","As you run more evals, it's useful to track them over time. Go to ""Dashboard"" in the left menu, enter the ""Edit"" mode, and add a new ""Columns"" tab:",175,182,frustrated_beginner,quickstart_llm.mdx
Can I add custom evaluation criteria?,You can implement custom criteria using built-in LLM judge templates.,238,239,direct_inquirer,quickstart_llm.mdx
"I'm really stuck on how to set up Evidently Cloud for the quickstart, can you guide me?","### 1.1. Set up Evidently Cloud

<CloudSignup />",21,23,frustrated_beginner,quickstart_ml.mdx
pip install evidently fails?,"Install the Evidently Python library:

```python
uv add evidently
```",27,31,hurried_developer,quickstart_ml.mdx
What should I do if I can’t access OpenML for downloading the dataset?,"If OpenML is not available, you can download the same dataset from here:

```python
url = ""https://github.com/evidentlyai/evidently/blob/main/test_data/adults.parquet?raw=true""
adult = pd.read_parquet(url, engine='pyarrow')
```",66,71,context_assumer,quickstart_ml.mdx
Can you explain how to upload the report after running my evaluation?,"**Upload the Report** with summary results:

```python
ws.add_run(project.id, my_eval, include_data=False)
```",143,147,direct_inquirer,quickstart_ml.mdx
How can I create a dashboard in Evidently?,"As you run repeated evals, you may want to track the results in time by creating a Dashboard. Evidently lets you configure the dashboard in the UI or using dashboards-as-code.",156,156,frustrated_beginner,quickstart_ml.mdx
Data summary preset usage?,"Alternatively, try `DataSummaryPreset` that will generate a summary of all columns in the dataset, and run auto-generated Tests to check for data quality and core descriptive stats.",208,210,hurried_developer,quickstart_ml.mdx
"I can't find the part where it says how to install the libraries, can someone tell me?","Install the necessary libraries:

```python
uv add evidently
uv add tracely 
uv add openai
```",20,26,frustrated_beginner,quickstart_tracing.mdx
tracely install,"Install the necessary libraries:

```python
uv add evidently
uv add tracely 
uv add openai
```",20,26,hurried_developer,quickstart_tracing.mdx
"When I create a project, how do I get the project ID?","`Project_id` is the ID of the Evidently Project you just created. Go to the [Home page](https://app.evidently.cloud/), enter the Project and copy its ID from above the dashboard.",89,89,context_assumer,quickstart_tracing.mdx
Can I use the Evidently library for something other than LLM evaluations?,"This tutorial shows how to set up tracing for an LLM app, collect its inputs and outputs, view them in Evidently Cloud, and optionally run evaluations.",4,4,direct_inquirer,quickstart_tracing.mdx
How do I load a traced dataset into Python?,"You can load the dataset to your Python environment:

```python
traced_data = ws.load_dataset(dataset_id = ""YOUR_DATASET_ID"")
```",160,161,frustrated_beginner,quickstart_tracing.mdx
"I can't find where to generate adversarial test data, can someone guide me?","In the Evidently UI, start a new Project or open an existing one. Navigate to “Datasets” in the left menu. Click “Generate” and select the “Adversarial testing” option.",15,18,frustrated_beginner,synthetic-data/adversarial_data.mdx
How do I save the generated questions?,"Once finalized, save the dataset. You can download it as a CSV file or access it via the Python API using the dataset ID.",43,46,frustrated_beginner,synthetic-data/input_data.mdx
"I want to create test data for my LLM app, but how do I start?","Evidently Cloud lets you generate synthetic test inputs (and outputs) to evaluate your AI system. You can use it for experiments, regression testing, and adversarial testing. Once you generate the data, you can run it through your AI system and evaluate the results using the Evidently Cloud or Evidently Python library as usual.",5,13,frustrated_beginner,synthetic-data/introduction.mdx
How do I upload my knowledge base?,"Select a file containing the information your AI system retrieves from. Supported formats: Markdown (.md), CSV, TXT, PDFs. Choose how many inputs to generate. Simply drop the file, then choose the number of inputs to generate. Choose if you want to include the context used to generate the answer.",18,28,frustrated_beginner,synthetic-data/rag_data.mdx
"I don't get how to create a test dataset, what do I do?","You can create test datasets manually, collect them from real or historical data, or generate them synthetically.",14,14,frustrated_beginner,synthetic-data/why_synthetic.mdx
